date,open,high,low,close,volume
2025-06-17,242.59,245.40,241.65,243.52,40838279
2025-06-18,241.76,242.78,241.41,242.10,19650294
2025-06-19,240.59,246.52,238.62,242.57,4814904
2025-06-20,244.31,247.36,243.30,245.33,24171055
2025-06-23,244.54,251.90,242.08,246.99,9085470
2025-06-24,249.12,253.13,247.79,250.46,12503779
2025-06-25,247.60,249.71,246.90,248.30,16247043
2025-06-26,249.62,251.25,249.08,250.16,16557470
2025-06-27,249.45,250.46,249.12,249.79,23026190
2025-06-30,248.24,251.91,247.02,249.46,24398958
2025-07-01,249.78,256.82,247.43,252.12,5672204
2025-07-02,249.95,253.23,248.86,251.04,9628882
2025-07-03,253.79,256.12,253.02,254.57,628701
2025-07-04,255.21,255.77,255.03,255.40,12922342
2025-07-07,249.72,256.23,247.55,251.89,32197442
2025-07-08,248.60,253.29,247.04,250.17,21634085
2025-07-09,250.53,257.41,248.24,252.83,13050207
2025-07-10,254.60,255.09,254.44,254.76,9275391
2025-07-11,251.01,253.59,250.15,251.87,41584803
2025-07-14,254.06,254.07,254.05,254.06,30120430
2025-07-15,255.31,259.41,253.95,256.68,23384535
2025-07-16,255.95,263.55,253.42,258.48,30104577
2025-07-17,255.05,258.93,253.75,256.34,7824426
2025-07-18,252.06,254.66,251.20,252.93,1551971
2025-07-21,252.87,254.45,252.35,253.40,15496514
2025-07-22,251.28,257.08,249.35,253.21,9096043
2025-07-23,250.90,257.58,248.67,253.12,35971154
2025-07-24,248.72,253.56,247.11,250.33,1397143
2025-07-25,248.32,252.55,246.91,249.73,3840565
2025-07-28,246.24,249.34,245.21,247.27,15701145
2025-07-29,246.35,252.81,244.20,248.51,32908101
2025-07-30,247.30,253.44,245.25,249.35,44265097
2025-07-31,246.46,249.71,245.38,247.54,41108628
2025-08-01,246.73,250.13,245.60,247.86,10233736
2025-08-04,246.21,247.18,245.88,246.53,17690229
2025-08-05,240.74,247.99,238.33,243.16,31334959
2025-08-06,239.29,246.34,236.94,241.64,47979376
2025-08-07,242.80,245.66,241.85,243.75,13479502
2025-08-08,242.23,244.46,241.49,242.97,1291982
2025-08-11,242.39,246.42,241.04,243.73,31533158
2025-08-12,238.40,243.87,236.58,240.23,39951348
2025-08-13,239.74,246.29,237.55,241.92,9819667
2025-08-14,236.34,243.45,233.97,238.71,6948355
2025-08-15,239.21,240.05,238.93,239.49,29427358
2025-08-18,235.30,237.58,234.54,236.06,6847624
2025-08-19,234.06,237.47,232.93,235.20,43801286
2025-08-20,234.32,240.59,232.23,236.41,38981762
2025-08-21,234.87,237.20,234.09,235.65,32720902
2025-08-22,234.72,241.78,232.36,237.07,31935064
2025-08-25,235.00,241.06,232.98,237.02,43327985
2025-08-26,236.80,240.31,235.63,237.97,49805564
2025-08-27,240.10,240.75,239.88,240.31,159927
2025-08-28,236.57,241.27,235.00,238.13,41259138
2025-08-29,238.75,239.35,238.55,238.95,46275245
2025-09-01,236.13,242.75,233.93,238.34,4235210
2025-09-02,235.56,240.74,233.84,237.29,5375242
2025-09-03,236.48,238.17,235.92,237.04,47617110
2025-09-04,234.56,239.64,232.87,236.26,23709953
2025-09-05,235.24,239.51,233.82,236.66,29290281
2025-09-08,235.71,239.97,234.29,237.13,23632663
2025-09-09,234.62,241.02,232.49,236.75,706475
2025-09-10,233.58,236.25,232.70,234.47,36306573
2025-09-11,238.06,238.20,238.01,238.11,18987629
2025-09-12,236.81,240.23,235.67,237.95,25613306
2025-09-15,234.00,237.65,232.78,235.22,724301
2025-09-16,234.53,234.78,234.45,234.61,18554785
2025-09-17,232.37,235.57,231.31,233.44,11812760
2025-09-18,230.58,234.08,229.41,231.74,34160477
2025-09-19,233.66,238.33,232.10,235.21,45517100
