date,open,high,low,close,volume
2025-06-16,224.59,227.99,223.45,225.72,45237060
2025-06-17,227.70,228.49,227.44,227.96,39398010
2025-06-18,227.13,231.05,225.82,228.43,12710992
2025-06-19,223.78,230.18,221.64,225.91,47648933
2025-06-20,226.15,227.83,225.59,226.71,40166991
2025-06-23,226.58,230.64,225.23,227.93,36122206
2025-06-24,229.02,231.55,228.18,229.87,25548117
2025-06-25,231.23,236.17,229.58,232.88,30305976
2025-06-26,230.59,236.36,228.67,232.52,8356721
2025-06-27,230.95,231.50,230.77,231.13,32287612
2025-06-30,227.90,229.58,227.34,228.46,37883988
2025-07-01,228.03,233.85,226.09,229.97,36692122
2025-07-02,231.56,231.63,231.54,231.58,21916661
2025-07-03,233.16,235.28,232.45,233.87,28811502
2025-07-04,231.63,234.42,230.70,232.56,39717602
2025-07-07,233.87,239.74,231.91,235.83,24871128
2025-07-08,231.12,237.64,228.94,233.29,1057849
2025-07-09,229.50,232.16,228.61,230.39,11857911
2025-07-10,225.62,232.16,223.45,227.80,18969844
2025-07-11,228.66,234.19,226.82,230.50,39207115
2025-07-14,228.02,229.29,227.60,228.44,30490696
2025-07-15,230.22,234.10,228.93,231.52,23483490
2025-07-16,227.93,230.96,226.92,228.94,15488239
2025-07-17,231.95,232.69,231.70,232.20,41492700
2025-07-18,227.58,232.94,225.80,229.37,4745470
2025-07-21,226.81,232.69,224.85,228.77,1101534
2025-07-22,225.46,231.81,223.34,227.57,41286258
2025-07-23,226.77,232.54,224.85,228.69,48150733
2025-07-24,225.03,230.19,223.31,226.75,19201024
2025-07-25,224.88,229.19,223.44,226.32,45339767
2025-07-28,226.34,231.44,224.65,228.04,2379145
2025-07-29,224.69,228.60,223.38,225.99,23231087
2025-07-30,227.44,230.72,226.35,228.54,7246884
2025-07-31,224.17,230.53,222.05,226.29,17337163
2025-08-01,223.72,228.51,222.13,225.32,4974285
2025-08-04,221.76,226.46,220.20,223.33,17020409
2025-08-05,219.30,222.52,218.23,220.37,15976362
2025-08-06,216.65,219.92,215.56,217.74,32796521
2025-08-07,219.25,220.62,218.79,219.71,12505569
2025-08-08,216.90,218.63,216.33,217.48,20378773
2025-08-11,217.38,218.24,217.09,217.67,47677403
2025-08-12,216.38,221.43,214.69,218.06,29042855
2025-08-13,217.26,218.35,216.90,217.62,1946810
2025-08-14,213.91,218.97,212.22,215.60,28387314
2025-08-15,214.13,214.57,213.98,214.28,30295649
2025-08-18,213.52,218.37,211.90,215.13,6066739
2025-08-19,215.60,215.85,215.52,215.68,49407178
2025-08-20,215.16,216.76,214.63,215.70,22594907
2025-08-21,212.58,214.78,211.85,213.32,48776291
2025-08-22,210.00,212.60,209.14,210.87,10622520
2025-08-25,208.53,211.30,207.61,209.45,3435652
2025-08-26,206.42,208.73,205.65,207.19,6983809
2025-08-27,207.85,210.06,207.12,208.59,25240563
2025-08-28,210.81,211.12,210.70,210.91,1391831
2025-08-29,210.35,211.86,209.85,210.86,12567529
2025-09-01,209.94,215.10,208.22,211.66,49180342
2025-09-02,214.57,214.74,214.51,214.63,27542074
2025-09-03,213.86,218.61,212.28,215.44,43766177
2025-09-04,211.70,215.59,210.41,213.00,8820360
2025-09-05,210.77,212.15,210.31,211.23,21178502
2025-09-08,207.98,212.18,206.58,209.38,41933192
2025-09-09,208.51,213.23,206.93,210.08,21052978
2025-09-10,210.66,212.15,210.17,211.16,16037960
2025-09-11,211.88,217.29,210.07,213.68,27446287
2025-09-12,210.01,214.78,208.42,211.60,13803675
2025-09-15,208.66,209.65,208.33,208.99,13741480
2025-09-16,206.20,210.89,204.63,207.76,27884343
2025-09-17,203.34,209.42,201.31,205.36,46420375
2025-09-18,206.12,208.29,205.40,206.84,17428853
2025-09-19,205.95,206.44,205.78,206.11,8734857
2025-09-22,201.84,205.86,200.50,203.18,32583691
2025-09-23,201.78,202.65,201.49,202.07,596272
2025-09-24,203.46,204.36,203.16,203.76,35762949
2025-09-25,206.47,207.27,206.20,206.73,13084838
2025-09-26,208.43,209.11,208.21,208.66,47571268
2025-09-29,206.61,211.23,205.07,208.15,16755875
2025-09-30,205.09,211.10,203.08,207.09,28177247
2025-10-01,205.83,208.89,204.81,206.85,7897716
2025-10-02,204.63,210.30,202.74,206.52,8302185
2025-10-03,206.39,210.17,205.14,207.65,32385787
2025-10-06,209.72,210.13,209.59,209.86,16808588
2025-10-07,208.69,209.52,208.41,208.96,16309785
2025-10-08,209.15,213.25,207.78,210.52,41167408
2025-10-09,209.70,214.95,207.95,211.45,31873861
2025-10-10,210.14,214.52,208.68,211.60,42467566
2025-10-13,209.62,215.89,207.53,211.71,9406360
2025-10-14,210.18,210.33,210.12,210.23,26772763
2025-10-15,211.33,212.15,211.06,211.61,25567354
2025-10-16,210.53,214.04,209.36,211.70,14599917
2025-10-17,208.03,214.22,205.97,210.09,3058819
2025-10-20,206.61,209.14,205.76,207.45,6076741
2025-10-21,205.68,207.51,205.07,206.29,14357751
2025-10-22,208.43,208.49,208.40,208.45,21115316
2025-10-23,208.26,212.12,206.98,209.55,30626288
2025-10-24,208.46,212.16,207.23,209.70,26470824
2025-10-27,210.52,211.42,210.22,210.82,7876234
2025-10-28,206.26,210.86,204.73,207.79,44073226
