date,open,high,low,close,volume
2025-06-16,165.72,168.99,164.64,166.81,46838882
2025-06-17,166.24,169.76,165.07,167.41,1896323
2025-06-18,167.32,167.45,167.28,167.37,32466282
2025-06-19,166.79,168.89,166.09,167.49,36804418
2025-06-20,168.22,169.41,167.83,168.62,13996472
2025-06-23,167.25,168.53,166.82,167.68,13550106
2025-06-24,168.07,168.96,167.78,168.37,11002610
2025-06-25,169.32,172.90,168.13,170.52,24464902
2025-06-26,170.73,173.95,169.66,171.80,20137701
2025-06-27,168.12,172.58,166.64,169.61,31501187
2025-06-30,166.64,170.85,165.24,168.05,21858247
2025-07-01,168.64,171.00,167.86,169.43,21678412
2025-07-02,170.47,171.72,170.06,170.89,49377481
2025-07-03,169.58,171.89,168.81,170.35,42548173
2025-07-04,168.99,170.71,168.42,169.57,6306090
2025-07-07,170.43,172.94,169.60,171.27,34930601
2025-07-08,169.56,174.17,168.03,171.10,5077644
2025-07-09,168.49,172.39,167.19,169.79,29895571
2025-07-10,166.87,168.79,166.23,167.51,38809586
2025-07-11,169.49,169.64,169.44,169.54,31039632
2025-07-14,169.62,170.84,169.21,170.02,8626335
2025-07-15,169.75,174.52,168.16,171.34,44458858
2025-07-16,168.15,171.72,166.96,169.34,22733753
2025-07-17,168.13,169.97,167.52,168.75,4494354
2025-07-18,170.20,170.40,170.13,170.26,32358099
2025-07-21,169.11,173.44,167.67,170.55,29646048
2025-07-22,167.77,169.31,167.26,168.28,23061259
2025-07-23,167.15,167.51,167.03,167.27,36590664
2025-07-24,165.05,168.49,163.91,166.20,26236946
2025-07-25,164.64,168.43,163.37,165.90,43251160
2025-07-28,167.40,169.17,166.81,167.99,19990949
2025-07-29,166.36,168.64,165.60,167.12,26361407
2025-07-30,166.03,168.26,165.29,166.78,25704817
2025-07-31,166.93,167.45,166.75,167.10,24191885
2025-08-01,166.64,166.65,166.64,166.64,23215311
2025-08-04,166.09,169.71,164.88,167.29,5258146
2025-08-05,163.88,168.40,162.38,165.39,8863340
2025-08-06,164.84,166.59,164.26,165.43,3610966
2025-08-07,164.11,166.27,163.39,164.83,49959771
2025-08-08,162.49,165.13,161.61,163.37,15522769
2025-08-11,163.90,168.61,162.34,165.47,9650145
2025-08-12,162.06,166.72,160.51,163.62,33334013
2025-08-13,159.91,164.05,158.54,161.29,35747497
2025-08-14,160.34,162.91,159.48,161.19,37538905
2025-08-15,162.05,162.45,161.91,162.18,4351675
2025-08-18,161.32,164.55,160.24,162.40,49058910
2025-08-19,161.86,165.45,160.66,163.05,20785618
2025-08-20,161.55,166.15,160.02,163.08,45877202
2025-08-21,163.49,168.01,161.98,165.00,39332759
2025-08-22,164.54,168.35,163.27,165.81,39536524
2025-08-25,165.85,166.36,165.68,166.02,41070044
2025-08-26,163.33,167.34,161.99,164.67,44828741
2025-08-27,162.73,166.67,161.41,164.04,39113906
2025-08-28,163.74,166.21,162.92,164.56,2566944
2025-08-29,165.61,169.02,164.48,166.75,38479121
2025-09-01,166.20,170.41,164.80,167.61,14434444
2025-09-02,167.44,168.28,167.16,167.72,46824277
2025-09-03,169.37,171.68,168.60,170.14,18945829
2025-09-04,169.85,174.14,168.42,171.28,32024611
2025-09-05,169.75,171.83,169.06,170.44,35974846
2025-09-08,170.55,173.29,169.64,171.47,5434026
2025-09-09,173.19,173.97,172.93,173.45,40112566
2025-09-10,173.30,177.65,171.85,174.75,18166528
2025-09-11,173.76,175.63,173.13,174.38,27499074
2025-09-12,172.30,177.02,170.72,173.87,35144078
2025-09-15,175.90,177.45,175.39,176.42,41509309
2025-09-16,175.44,179.06,174.24,176.65,26826693
2025-09-17,176.05,181.34,174.28,177.81,26528223
2025-09-18,177.06,181.42,175.61,178.52,28417892
2025-09-19,179.51,182.60,178.49,180.54,30156707
2025-09-22,178.30,181.85,177.12,179.48,17723242
2025-09-23,176.74,178.48,176.16,177.32,7616673
2025-09-24,176.24,176.74,176.08,176.41,46239785
2025-09-25,175.97,177.96,175.30,176.63,41651934
2025-09-26,178.73,180.64,178.10,179.37,27004923
2025-09-29,179.10,180.84,178.52,179.68,23600282
2025-09-30,177.08,182.28,175.35,178.82,34819664
2025-10-01,176.93,180.08,175.88,177.98,8678763
2025-10-02,176.82,177.16,176.71,176.93,16511990
2025-10-03,177.81,180.66,176.86,178.76,29470146
2025-10-06,178.86,184.03,177.14,180.58,49899737
2025-10-07,182.05,186.09,180.71,183.40,27832829
2025-10-08,181.92,185.83,180.61,183.22,37390794
2025-10-09,180.55,184.41,179.27,181.84,33408893
2025-10-10,181.83,186.60,180.24,183.42,33030986
2025-10-13,183.76,186.61,182.82,184.71,10956541
2025-10-14,182.28,184.83,181.43,183.13,47665922
2025-10-15,180.37,184.62,178.96,181.79,42960413
2025-10-16,179.24,180.22,178.91,179.57,3858720
2025-10-17,177.56,177.74,177.50,177.62,26620945
2025-10-20,176.59,177.46,176.30,176.88,4784554
2025-10-21,174.82,178.23,173.69,175.96,19897532
2025-10-22,174.54,179.12,173.02,176.07,41874774
2025-10-23,172.53,175.61,171.50,173.56,30130118
2025-10-24,175.87,176.89,175.53,176.21,39317959
2025-10-27,178.19,179.46,177.76,178.61,40037056
2025-10-28,180.53,180.57,180.52,180.55,38616801
2025-10-29,180.40,183.41,179.40,181.40,690406
2025-10-30,179.54,184.91,177.75,181.33,35967896
2025-10-31,181.09,181.61,180.91,181.26,21333003
2025-11-03,177.83,181.77,176.52,179.14,39342986
2025-11-04,178.69,183.46,177.11,180.28,35244260
2025-11-05,180.84,185.59,179.25,182.42,26855261
2025-11-06,180.69,181.88,180.29,181.09,13452338
2025-11-07,179.86,183.44,178.66,181.05,36240557
2025-11-10,182.02,182.73,181.78,182.25,37252322
2025-11-11,180.28,185.06,178.68,181.87,48820141
2025-11-12,182.83,188.09,181.07,184.58,16495580
2025-11-13,182.66,186.53,181.37,183.95,3441792
2025-11-14,184.90,185.54,184.68,185.11,25133629
2025-11-17,181.18,185.26,179.82,182.54,42485146
2025-11-18,182.51,187.22,180.94,184.08,35402871
2025-11-19,183.48,184.42,183.17,183.79,38313032
2025-11-20,181.64,181.75,181.61,181.68,38019295
2025-11-21,178.15,181.66,176.98,179.32,9125143
2025-11-24,177.74,178.27,177.57,177.92,5850781
2025-11-25,178.97,183.49,177.47,180.48,23494852
2025-11-26,181.16,182.42,180.74,181.58,21650796
