date,open,high,low,close,volume
2025-06-16,412.51,418.94,410.37,414.65,9050288
2025-06-17,413.56,423.35,410.29,416.82,34387516
2025-06-18,414.61,418.00,413.47,415.74,4202198
2025-06-19,418.59,419.62,418.25,418.93,1590131
2025-06-20,418.86,421.09,418.11,419.60,6605169
2025-06-23,413.27,418.02,411.69,414.86,46141365
2025-06-24,414.40,424.31,411.10,417.70,11208744
2025-06-25,412.71,418.33,410.84,414.58,26478403
2025-06-26,412.65,419.67,410.31,414.99,5389204
2025-06-27,414.21,416.97,413.28,415.13,14272188
2025-06-30,415.27,419.78,413.76,416.77,24017044
2025-07-01,411.28,414.96,410.05,412.51,1189248
2025-07-02,403.28,413.17,399.98,406.58,46173779
2025-07-03,409.96,416.94,407.63,412.29,44320610
2025-07-04,414.78,416.01,414.37,415.19,7401749
2025-07-07,410.14,420.12,406.81,413.46,30766219
2025-07-08,407.39,411.27,406.09,408.68,13934774
2025-07-09,402.09,406.32,400.67,403.50,9294665
2025-07-10,401.65,408.73,399.29,404.01,13111281
2025-07-11,405.83,410.12,404.40,407.26,22120054
2025-07-14,405.68,414.64,402.70,408.67,554771
2025-07-15,407.89,410.68,406.96,408.82,8637150
2025-07-16,411.10,417.31,409.02,413.17,36688990
2025-07-17,413.61,422.21,410.75,416.48,24822632
2025-07-18,415.12,427.22,411.09,419.15,9946825
2025-07-21,414.49,422.26,411.90,417.08,44961057
2025-07-22,412.69,413.40,412.45,412.92,48226828
2025-07-23,416.55,419.74,415.48,417.61,33223763
2025-07-24,412.37,421.27,409.41,415.34,41282643
2025-07-25,408.27,413.12,406.66,409.89,27484276
2025-07-28,401.68,409.35,399.12,404.24,13512232
2025-07-29,402.45,409.19,400.20,404.69,32102628
2025-07-30,406.33,414.83,403.49,409.16,39581309
2025-07-31,405.98,417.89,402.01,409.95,37464681
2025-08-01,408.62,409.88,408.20,409.04,4305516
2025-08-04,411.98,414.50,411.15,412.82,37374254
2025-08-05,408.51,410.64,407.79,409.22,24811159
2025-08-06,412.05,415.44,410.93,413.18,28031851
2025-08-07,406.11,412.20,404.08,408.14,38871311
2025-08-08,411.26,413.44,410.54,411.99,7827935
2025-08-11,405.05,411.40,402.93,407.17,7131897
2025-08-12,408.56,418.78,405.15,411.97,10263607
2025-08-13,410.18,413.77,408.98,411.38,21484589
2025-08-14,406.81,416.44,403.59,410.02,34283262
2025-08-15,409.57,415.52,407.59,411.55,24292739
2025-08-18,409.83,420.78,406.18,413.48,39836309
2025-08-19,418.73,421.27,417.88,419.58,5917045
2025-08-20,423.22,427.85,421.68,424.77,27021269
2025-08-21,416.63,422.97,414.52,418.74,40455450
2025-08-22,416.03,424.82,413.10,418.96,26837132
2025-08-25,415.96,422.48,413.79,418.14,28176447
2025-08-26,415.78,422.10,413.67,417.89,4812640
2025-08-27,419.76,423.68,418.46,421.07,11942857
2025-08-28,417.67,418.55,417.37,417.96,39810490
2025-08-29,422.09,423.07,421.76,422.41,16317676
2025-09-01,418.38,420.51,417.67,419.09,4121359
2025-09-02,421.20,422.11,420.89,421.50,46109415
2025-09-03,420.12,428.34,417.38,422.86,7166560
2025-09-04,422.58,431.21,419.70,425.45,2424984
2025-09-05,423.00,434.29,419.24,426.77,39842216
2025-09-08,425.06,435.17,421.69,428.43,47776404
2025-09-09,419.92,428.22,417.16,422.69,46638160
2025-09-10,415.07,423.14,412.38,417.76,29419461
2025-09-11,421.89,424.80,420.92,422.86,46872699
2025-09-12,422.73,428.61,420.77,424.69,18958842
2025-09-15,423.88,430.95,421.53,426.24,49296492
2025-09-16,423.21,428.33,421.51,424.92,3288135
2025-09-17,423.32,435.96,419.10,427.53,22786443
2025-09-18,420.11,427.05,417.80,422.43,33731387
2025-09-19,423.27,431.28,420.60,425.94,10373856
2025-09-22,428.97,431.01,428.29,429.65,11185066
2025-09-23,424.93,430.55,423.06,426.81,16339151
2025-09-24,421.79,424.36,420.94,422.65,37940685
2025-09-25,417.68,425.44,415.09,420.27,5886890
2025-09-26,413.89,419.70,411.95,415.82,22969356
2025-09-29,410.35,415.89,408.50,412.19,869505
2025-09-30,413.25,419.97,411.01,415.49,44771140
2025-10-01,410.89,412.72,410.28,411.50,34792095
2025-10-02,405.86,413.44,403.34,408.39,47950709
2025-10-03,406.99,412.09,405.30,408.69,41527407
2025-10-06,412.40,412.86,412.24,412.55,631580
2025-10-07,415.63,421.03,413.84,417.43,13414766
2025-10-08,416.31,424.45,413.59,419.02,8953871
2025-10-09,421.14,432.42,417.38,424.90,9936026
2025-10-10,420.90,424.71,419.63,422.17,37367823
2025-10-13,422.41,433.21,418.81,426.01,36052235
2025-10-14,425.85,426.74,425.55,426.14,7866132
2025-10-15,417.05,427.79,413.47,420.63,14577161
2025-10-16,424.22,431.14,421.91,426.53,37721987
2025-10-17,421.90,424.14,421.15,422.65,36850258
2025-10-20,415.11,426.80,411.22,419.01,38763729
2025-10-21,415.50,421.05,413.65,417.35,16348962
2025-10-22,423.15,423.59,423.00,423.30,38527632
2025-10-23,423.72,424.21,423.56,423.89,16908254
2025-10-24,424.75,436.63,420.79,428.71,26131402
2025-10-27,425.98,432.48,423.81,428.15,35188013
2025-10-28,420.23,432.58,416.11,424.35,1062376
2025-10-29,418.98,431.17,414.92,423.04,28289848
2025-10-30,413.67,423.65,410.34,417.00,36195733
2025-10-31,414.63,417.52,413.67,415.60,7881370
2025-11-03,410.74,418.74,408.07,413.41,43841518
2025-11-04,407.53,411.06,406.35,408.70,47387217
2025-11-05,405.66,411.29,403.78,407.53,34275626
2025-11-06,401.19,408.43,398.77,403.60,36622855
2025-11-07,400.56,403.82,399.47,401.65,12787847
2025-11-10,398.17,407.19,395.16,401.18,42211389
2025-11-11,402.26,406.08,400.99,403.53,2833648
2025-11-12,396.78,401.86,395.08,398.47,10157386
2025-11-13,400.24,411.74,396.41,404.07,10977905
2025-11-14,403.85,404.69,403.57,404.13,33316844
2025-11-17,403.68,414.39,400.12,407.25,21035749
2025-11-18,410.87,413.96,409.83,411.90,8188745
2025-11-19,416.31,418.23,415.67,416.95,33017650
2025-11-20,412.36,413.17,412.09,412.63,49268789
2025-11-21,404.25,414.69,400.77,407.73,26854440
2025-11-24,400.16,405.96,398.23,402.09,4544084
2025-11-25,394.67,405.34,391.12,398.23,45249358
2025-11-26,395.14,405.77,391.60,398.68,45663581
2025-11-27,394.41,400.88,392.25,396.56,22995527
2025-11-28,391.06,391.82,390.80,391.31,28313282
2025-12-01,392.74,393.32,392.54,392.93,353139
2025-12-02,394.42,405.95,390.58,398.26,32411200
2025-12-03,393.79,403.04,390.71,396.87,36203445
2025-12-04,391.98,392.35,391.86,392.11,10144491
2025-12-05,387.44,389.34,386.81,388.07,35857318
2025-12-08,384.55,393.00,381.73,387.37,39556655
2025-12-09,389.54,390.88,389.10,389.99,19129919
2025-12-10,389.38,396.65,386.96,391.81,2493420
2025-12-11,393.78,394.92,393.39,394.16,38432952
2025-12-12,388.49,393.66,386.76,390.21,24008903
2025-12-15,389.48,396.61,387.11,391.86,10487742
2025-12-16,385.59,390.72,383.88,387.30,28334143
2025-12-17,389.86,391.54,389.30,390.42,33441953
2025-12-18,391.58,393.74,390.86,392.30,3513702
2025-12-19,390.35,393.97,389.14,391.56,6258968
2025-12-22,390.08,400.59,386.58,393.58,19306663
2025-12-23,398.56,399.80,398.15,398.98,47202686
2025-12-24,401.98,406.41,400.51,403.46,1562846
2025-12-25,398.03,408.42,394.57,401.50,25629698
2025-12-26,404.35,413.13,401.43,407.28,44910071
2025-12-29,408.65,419.41,405.06,412.23,15629220
2025-12-30,412.85,418.19,411.07,414.63,4244128
2025-12-31,416.93,427.16,413.52,420.34,48167815
2026-01-01,419.70,421.65,419.05,420.35,14157508
2026-01-02,421.29,430.46,418.23,424.34,27415783
2026-01-05,425.14,426.39,424.72,425.56,38869863
2026-01-06,422.23,423.21,421.91,422.56,43861207
2026-01-07,425.12,427.37,424.37,425.87,7008791
2026-01-08,421.25,430.10,418.29,424.20,44235796
2026-01-09,427.09,432.25,425.37,428.81,1027451
2026-01-12,426.39,427.31,426.08,426.70,42153134
2026-01-13,420.12,429.22,417.09,423.16,32731494
2026-01-14,420.92,427.35,418.78,423.06,18141279
2026-01-15,416.86,419.82,415.87,417.84,24245192
2026-01-16,411.53,416.47,409.88,413.17,12960486
2026-01-19,412.32,419.97,409.77,414.87,40596472
2026-01-20,413.29,424.42,409.58,417.00,44366513
2026-01-21,422.16,423.86,421.59,422.72,38790432
2026-01-22,421.63,431.75,418.26,425.00,20668721
2026-01-23,422.86,424.36,422.36,423.36,11445460
2026-01-26,423.14,432.79,419.92,426.35,23964609
2026-01-27,419.21,431.41,415.14,423.28,5318846
2026-01-28,418.49,427.67,415.43,421.55,32502581
2026-01-29,422.85,422.91,422.83,422.87,49797437
2026-01-30,420.83,430.33,417.67,424.00,18447555
2026-02-02,429.85,431.23,429.39,430.31,3783637
2026-02-03,429.75,441.32,425.89,433.60,47630861
2026-02-04,429.06,438.33,425.98,432.15,28314610
2026-02-05,427.28,434.29,424.94,429.61,26677038
2026-02-06,432.02,434.55,431.18,432.86,29401257
2026-02-09,424.28,433.81,421.11,427.46,6749684
2026-02-10,431.06,434.66,429.86,432.26,49816656
