date,open,high,low,close,volume
2025-06-16,356.37,358.05,355.80,356.93,38709122
2025-06-17,353.29,360.08,351.03,355.55,34949937
2025-06-18,354.08,361.27,351.68,356.47,2396919
2025-06-19,354.31,362.78,351.49,357.13,32176763
2025-06-20,361.05,361.23,360.99,361.11,14476309
2025-06-23,357.07,357.44,356.95,357.19,10765452
2025-06-24,353.06,358.32,351.31,354.81,23453573
2025-06-25,355.34,355.39,355.32,355.36,16573164
2025-06-26,357.25,360.50,356.16,358.33,48038106
2025-06-27,357.34,366.92,354.15,360.53,22800225
2025-06-30,353.21,362.20,350.21,356.20,36712191
2025-07-01,348.50,358.01,345.32,351.67,6264920
2025-07-02,353.67,363.68,350.33,357.00,20750892
2025-07-03,357.80,367.71,354.49,361.10,1342510
2025-07-04,357.26,362.60,355.48,359.04,49110277
2025-07-07,354.26,360.19,352.29,356.24,27402175
2025-07-08,354.47,356.86,353.67,355.26,1251550
2025-07-09,356.20,364.76,353.34,359.05,49810198
2025-07-10,359.08,360.00,358.78,359.39,2533448
2025-07-11,360.90,368.05,358.52,363.28,41877539
2025-07-14,360.09,362.36,359.34,360.85,40177160
2025-07-15,355.67,357.47,355.07,356.27,27969219
2025-07-16,351.04,351.78,350.79,351.28,46102220
2025-07-17,351.12,361.37,347.70,354.54,24960261
2025-07-18,351.54,355.02,350.39,352.70,34521244
2025-07-21,348.20,353.24,346.52,349.88,24911501
2025-07-22,347.58,357.05,344.43,350.74,23204741
2025-07-23,343.99,351.55,341.47,346.51,24763008
2025-07-24,346.13,351.90,344.20,348.05,536981
2025-07-25,344.60,353.29,341.70,347.50,41397365
2025-07-28,347.45,356.40,344.46,350.43,3544148
2025-07-29,354.40,357.98,353.21,355.60,46948181
2025-07-30,355.85,362.41,353.67,358.04,46026385
2025-07-31,361.36,362.22,361.08,361.65,1658459
2025-08-01,360.78,367.83,358.43,363.13,41836115
2025-08-04,356.73,363.67,354.42,359.04,28434950
2025-08-05,357.68,357.88,357.61,357.75,44900192
2025-08-06,354.11,356.74,353.23,354.99,43060430
2025-08-07,347.32,355.50,344.59,350.04,16430541
2025-08-08,348.34,349.61,347.92,348.77,15686087
2025-08-11,345.01,347.88,344.05,345.97,35029856
2025-08-12,348.09,353.93,346.14,350.03,1560426
2025-08-13,350.28,355.78,348.45,352.11,41922013
2025-08-14,348.08,348.57,347.91,348.24,32156493
2025-08-15,349.53,359.56,346.19,352.87,31597115
2025-08-18,348.99,353.25,347.57,350.41,21272225
2025-08-19,346.74,355.58,343.80,349.69,10712773
2025-08-20,353.13,356.85,351.89,354.37,9453355
2025-08-21,354.53,358.82,353.10,355.96,37781320
2025-08-22,349.45,357.43,346.79,352.11,14140171
2025-08-25,347.63,354.53,345.33,349.93,34704424
2025-08-26,354.54,354.64,354.51,354.57,30407236
2025-08-27,356.88,359.38,356.04,357.71,10556925
2025-08-28,361.39,361.99,361.18,361.59,4520824
2025-08-29,356.21,360.62,354.74,357.68,25327230
2025-09-01,354.97,359.58,353.44,356.51,663730
2025-09-02,358.21,359.50,357.78,358.64,26543579
2025-09-03,356.86,362.17,355.09,358.63,10436729
2025-09-04,361.20,368.88,358.64,363.76,42354906
2025-09-05,359.76,367.09,357.32,362.20,46385382
2025-09-08,360.60,362.62,359.93,361.27,42113871
2025-09-09,358.79,363.13,357.35,360.24,4594377
2025-09-10,362.94,370.26,360.50,365.38,35351142
2025-09-11,360.37,361.53,359.98,360.76,10930141
2025-09-12,353.33,362.07,350.42,356.24,29839595
2025-09-15,354.50,355.43,354.19,354.81,28087545
2025-09-16,352.88,356.46,351.69,354.08,44969046
2025-09-17,354.25,359.64,352.45,356.05,20480589
2025-09-18,353.63,359.58,351.65,355.61,278138
2025-09-19,358.32,359.97,357.78,358.87,15408984
2025-09-22,358.29,362.00,357.05,359.52,47617564
2025-09-23,362.82,368.21,361.03,364.62,47553744
2025-09-24,358.11,365.27,355.72,360.49,13918260
2025-09-25,362.99,366.54,361.81,364.17,48212890
2025-09-26,365.41,369.26,364.13,366.69,10157662
2025-09-29,367.38,369.48,366.67,368.08,27411328
2025-09-30,372.47,376.21,371.22,373.72,9963822
2025-10-01,373.67,375.06,373.20,374.13,37868089
2025-10-02,373.27,379.32,371.25,375.29,9597332
2025-10-03,376.78,378.67,376.15,377.41,26803395
2025-10-06,374.12,375.80,373.56,374.68,22687531
2025-10-07,369.21,371.21,368.54,369.87,8430121
2025-10-08,370.08,373.23,369.02,371.13,45816638
2025-10-09,371.87,378.32,369.72,374.02,6875262
2025-10-10,368.98,372.86,367.69,370.28,8959861
2025-10-13,369.32,378.42,366.28,372.35,22520482
2025-10-14,372.54,378.10,370.69,374.40,48190996
2025-10-15,379.98,380.25,379.89,380.07,15508721
2025-10-16,381.97,389.78,379.37,384.57,7149307
2025-10-17,381.30,384.12,380.36,382.24,31971829
2025-10-20,378.07,387.70,374.87,381.28,1350817
2025-10-21,377.67,381.33,376.45,378.89,7298436
2025-10-22,380.85,386.33,379.03,382.68,10122140
2025-10-23,377.91,383.07,376.19,379.63,24065342
2025-10-24,377.54,388.74,373.81,381.27,3193832
2025-10-27,375.13,378.74,373.92,376.33,31723264
2025-10-28,373.99,378.02,372.64,375.33,24162847
2025-10-29,370.93,375.20,369.50,372.35,16849838
2025-10-30,374.24,375.56,373.80,374.68,36184445
2025-10-31,373.41,378.25,371.79,375.02,40229183
2025-11-03,375.81,383.44,373.27,378.35,18302066
2025-11-04,374.53,375.79,374.10,374.95,22506311
2025-11-05,370.67,375.54,369.04,372.29,227493
2025-11-06,369.80,371.47,369.24,370.36,23088720
2025-11-07,371.08,372.33,370.67,371.50,33060619
2025-11-10,376.22,378.79,375.36,377.08,14910293
2025-11-11,375.66,380.64,374.00,377.32,6187063
2025-11-12,373.23,375.65,372.43,374.04,48964561
2025-11-13,376.13,387.21,372.43,379.82,7119875
2025-11-14,379.04,386.28,376.62,381.45,13806570
2025-11-17,373.96,384.75,370.37,377.56,23350697
2025-11-18,377.99,387.78,374.72,381.25,18096203
2025-11-19,376.23,379.33,375.20,377.27,45055263
2025-11-20,373.21,375.66,372.39,374.03,34835960
2025-11-21,376.29,377.92,375.74,376.83,37770558
2025-11-24,373.13,378.64,371.30,374.97,3671130
2025-11-25,371.41,380.43,368.41,374.42,33894377
2025-11-26,373.71,377.88,372.32,375.10,10553241
2025-11-27,371.34,372.65,370.91,371.78,45334928
2025-11-28,371.62,372.91,371.18,372.05,1876010
2025-12-01,366.64,377.51,363.02,370.27,6037148
2025-12-02,371.90,378.62,369.66,374.14,38560776
2025-12-03,373.10,375.37,372.35,373.86,48997193
2025-12-04,376.47,377.60,376.09,376.84,35642107
2025-12-05,379.29,385.24,377.30,381.27,12410284
2025-12-08,381.46,386.88,379.65,383.26,44660170
2025-12-09,381.74,387.16,379.93,383.54,12481696
2025-12-10,380.07,387.34,377.64,382.49,30294176
2025-12-11,383.05,384.67,382.52,383.59,45499491
2025-12-12,385.88,387.36,385.38,386.37,36247580
2025-12-15,389.73,391.01,389.30,390.16,979238
2025-12-16,381.29,392.36,377.60,384.98,43928468
2025-12-17,385.36,390.72,383.58,387.15,1835833
2025-12-18,388.84,393.14,387.41,390.27,1557334
2025-12-19,389.49,395.03,387.64,391.34,21532845
2025-12-22,396.27,398.68,395.47,397.07,20157435
2025-12-23,395.45,404.35,392.48,398.41,24327762
2025-12-24,397.86,405.48,395.32,400.40,35954389
2025-12-25,400.08,408.57,397.25,402.91,8957328
2025-12-26,401.20,412.28,397.50,404.89,46532444
2025-12-29,409.41,409.62,409.35,409.48,34599969
2025-12-30,409.55,413.13,408.36,410.75,24724140
2025-12-31,407.70,411.69,406.38,409.03,39008914
2026-01-01,406.91,416.78,403.62,410.20,25168284
2026-01-02,415.35,416.19,415.06,415.63,20402473
2026-01-05,414.15,423.85,410.91,417.38,30652758
2026-01-06,420.19,424.06,418.90,421.48,21703539
2026-01-07,421.95,422.18,421.88,422.03,45614466
2026-01-08,421.14,428.50,418.69,423.60,38712695
2026-01-09,419.77,431.52,415.85,423.69,42380285
2026-01-12,417.42,429.89,413.26,421.58,18576078
2026-01-13,423.29,434.86,419.44,427.15,8676210
2026-01-14,427.64,431.01,426.52,428.76,5932651
2026-01-15,420.61,429.95,417.49,423.72,23362953
2026-01-16,424.93,429.31,423.47,426.39,47312676
2026-01-19,427.25,433.91,425.03,429.47,5243338
2026-01-20,422.96,427.57,421.43,424.50,12947229
2026-01-21,417.96,426.66,415.06,420.86,26348361
2026-01-22,425.24,426.34,424.87,425.61,37360430
2026-01-23,426.82,434.45,424.28,429.37,8074606
2026-01-26,423.49,425.33,422.87,424.10,31016939
2026-01-27,418.09,429.69,414.23,421.96,30002441
2026-01-28,418.91,430.16,415.17,422.66,2995455
2026-01-29,422.80,425.80,421.80,423.80,33724491
2026-01-30,425.80,429.02,424.73,426.87,8227366
2026-02-02,428.55,431.71,427.50,429.61,13424815
2026-02-03,431.00,441.74,427.43,434.58,47878608
2026-02-04,431.58,435.79,430.18,432.98,7400300
2026-02-05,430.82,434.90,429.46,432.18,12607908
2026-02-06,427.58,438.66,423.89,431.27,36945516
2026-02-09,434.45,436.66,433.71,435.18,11473613
2026-02-10,429.26,433.12,427.98,430.55,37317070
2026-02-11,423.38,436.13,419.13,427.63,22080608
2026-02-12,428.29,428.78,428.12,428.45,34106887
2026-02-13,423.12,434.37,419.37,426.87,35215409
2026-02-16,429.60,435.12,427.76,431.44,13507524
2026-02-17,422.19,431.67,419.04,425.35,32126003
2026-02-18,429.60,435.97,427.48,431.73,37101705
2026-02-19,431.74,439.40,429.19,434.30,27348192
2026-02-20,430.28,441.37,426.59,433.98,23593819
2026-02-23,430.10,438.96,427.14,433.05,9560555
2026-02-24,426.78,429.42,425.91,427.66,49510254
2026-02-25,423.57,427.99,422.10,425.04,2601688
2026-02-26,429.92,433.13,428.85,430.99,28094658
2026-02-27,432.70,442.55,429.42,435.99,29137222
2026-03-02,437.54,438.16,437.33,437.74,4021261
2026-03-03,436.88,443.29,434.74,439.02,5094402
2026-03-04,440.64,444.10,439.49,441.80,5396589
2026-03-05,436.44,447.32,432.82,440.07,7589170
2026-03-06,433.61,444.34,430.04,437.19,1076061
2026-03-09,435.87,448.83,431.56,440.19,41822533
2026-03-10,436.27,440.11,434.99,437.55,42151263
2026-03-11,431.56,432.27,431.32,431.80,22450117
2026-03-12,424.74,436.09,420.95,428.52,46206845
2026-03-13,428.38,437.94,425.20,431.57,36411823
2026-03-16,433.96,445.98,429.96,437.97,47004050
2026-03-17,440.46,452.15,436.57,444.36,26424511
2026-03-18,443.22,454.29,439.52,446.91,129814
2026-03-19,450.90,457.90,448.57,453.23,28934539
2026-03-20,448.21,455.01,445.94,450.47,49817450
2026-03-23,451.51,455.96,450.03,452.99,45707548
2026-03-24,446.88,447.88,446.55,447.22,31807566
2026-03-25,447.53,454.52,445.20,449.86,25968307
2026-03-26,452.76,461.30,449.91,455.60,26893109
2026-03-27,457.62,468.49,454.00,461.25,18474432
2026-03-30,458.33,467.83,455.17,461.50,27307253
2026-03-31,459.93,464.65,458.35,461.50,4494396
2026-04-01,457.25,470.00,453.00,461.50,35588499
2026-04-02,458.60,467.30,455.70,461.50,35264602
2026-04-03,458.51,467.48,455.52,461.50,45586986
2026-04-06,457.46,469.58,453.42,461.50,16992236
2026-04-07,455.70,464.83,452.65,458.74,325843
2026-04-08,452.97,462.25,449.87,456.06,30643068
2026-04-09,450.91,454.41,449.75,452.08,44092752
2026-04-10,456.99,458.18,456.60,457.39,32374001
